id,event,date,pattern_base
1,A,2024-01-24,ADD
1,D,2024-04-23,ADD
1,D,2024-07-22,ADD
2,A,2024-01-18,ADD
2,D,2024-04-17,ADD
2,D,2024-07-16,ADD
3,A,2024-01-15,ADD
3,D,2024-03-15,ADD
3,C,2024-05-14,ADD
3,D,2024-07-13,ADD
4,A,2024-01-13,ADD
4,A,2024-03-13,ADD
4,D,2024-05-12,ADD
4,D,2024-07-11,ADD
5,A,2024-01-28,ADD
5,D,2024-04-27,ADD
5,D,2024-07-26,ADD
6,A,2024-01-19,ADD
6,G,2024-03-19,ADD
6,D,2024-05-18,ADD
6,D,2024-07-17,ADD
7,A,2024-01-09,ADD
7,D,2024-04-08,ADD
7,D,2024-07-07,ADD
8,A,2024-01-30,ADD
8,D,2024-03-30,ADD
8,G,2024-05-29,ADD
8,D,2024-07-28,ADD
9,A,2024-01-06,ADD
9,D,2024-04-05,ADD
9,D,2024-07-04,ADD
10,A,2024-01-30,ADD
10,D,2024-04-29,ADD
10,D,2024-07-28,ADD
11,A,2024-01-28,ADD
11,D,2024-04-27,ADD
11,D,2024-07-26,ADD
12,A,2024-01-25,ADD
12,D,2024-04-24,ADD
12,D,2024-07-23,ADD
13,A,2024-01-30,ADD
13,D,2024-04-29,ADD
13,D,2024-07-28,ADD
14,A,2024-01-07,ADD
14,D,2024-04-06,ADD
14,D,2024-07-05,ADD
15,A,2024-01-14,ADD
15,D,2024-04-13,ADD
15,D,2024-07-12,ADD
16,A,2024-01-24,ADD
16,D,2024-04-23,ADD
16,D,2024-07-22,ADD
17,A,2024-01-18,ADD
17,D,2024-03-18,ADD
17,B,2024-05-17,ADD
17,D,2024-07-16,ADD
18,A,2024-01-01,ADD
18,D,2024-03-31,ADD
18,D,2024-06-29,ADD
19,A,2024-01-26,ADD
19,D,2024-04-25,ADD
19,D,2024-07-24,ADD
20,A,2024-01-12,ADD
20,G,2024-03-12,ADD
20,D,2024-05-11,ADD
20,D,2024-07-10,ADD
21,A,2024-01-16,ADD
21,D,2024-04-15,ADD
21,D,2024-07-14,ADD
22,A,2024-01-18,ADD
22,D,2024-03-18,ADD
22,C,2024-05-17,ADD
22,D,2024-07-16,ADD
23,A,2024-01-12,ADD
23,D,2024-04-11,ADD
23,D,2024-07-10,ADD
24,A,2024-01-04,ADD
24,D,2024-04-03,ADD
24,D,2024-07-02,ADD
25,A,2024-01-29,ADD
25,D,2024-04-28,ADD
25,D,2024-07-27,ADD
26,A,2024-01-30,ADD
26,D,2024-04-29,ADD
26,D,2024-07-28,ADD
27,A,2024-01-14,ADD
27,D,2024-04-13,ADD
27,D,2024-07-12,ADD
28,A,2024-01-05,ADD
28,D,2024-04-04,ADD
28,D,2024-07-03,ADD
29,A,2024-01-03,ADD
29,D,2024-04-02,ADD
29,D,2024-07-01,ADD
30,A,2024-01-28,ADD
30,B,2024-03-28,ADD
30,D,2024-05-27,ADD
30,D,2024-07-26,ADD
31,A,2024-01-30,ADD
31,E,2024-03-30,ADD
31,F,2024-05-29,ADD
31,D,2024-07-28,ADD
32,A,2024-01-14,ADD
32,D,2024-04-13,ADD
32,D,2024-07-12,ADD
33,A,2024-01-08,ADD
33,D,2024-04-07,ADD
33,D,2024-07-06,ADD
34,A,2024-01-07,ADD
34,D,2024-04-06,ADD
34,D,2024-07-05,ADD
35,A,2024-01-28,ADD
35,D,2024-04-27,ADD
35,D,2024-07-26,ADD
36,A,2024-01-16,ADD
36,D,2024-03-16,ADD
36,C,2024-05-15,ADD
36,D,2024-07-14,ADD
37,A,2024-01-31,ADD
37,D,2024-04-30,ADD
37,D,2024-07-29,ADD
38,A,2024-01-09,ADD
38,D,2024-04-08,ADD
38,D,2024-07-07,ADD
39,A,2024-01-23,ADD
39,D,2024-04-22,ADD
39,D,2024-07-21,ADD
40,A,2024-01-31,ADD
40,D,2024-04-30,ADD
40,D,2024-07-29,ADD
41,A,2024-01-11,ADD
41,D,2024-04-10,ADD
41,D,2024-07-09,ADD
42,A,2024-01-25,ADD
42,D,2024-04-24,ADD
42,D,2024-07-23,ADD
43,A,2024-01-23,ADD
43,D,2024-04-22,ADD
43,D,2024-07-21,ADD
44,A,2024-01-26,ADD
44,D,2024-04-25,ADD
44,D,2024-07-24,ADD
45,A,2024-01-24,ADD
45,D,2024-04-23,ADD
45,D,2024-07-22,ADD
46,A,2024-01-15,ADD
46,D,2024-04-14,ADD
46,D,2024-07-13,ADD
47,A,2024-01-10,ADD
47,D,2024-04-09,ADD
47,D,2024-07-08,ADD
48,A,2024-01-30,ADD
48,D,2024-04-29,ADD
48,D,2024-07-28,ADD
49,A,2024-01-22,ADD
49,D,2024-04-21,ADD
49,D,2024-07-20,ADD
50,A,2024-01-19,ADD
50,G,2024-03-19,ADD
50,D,2024-05-18,ADD
50,D,2024-07-17,ADD
51,A,2024-01-23,ADD
51,D,2024-04-22,ADD
51,D,2024-07-21,ADD
52,A,2024-01-10,ADD
52,D,2024-04-09,ADD
52,D,2024-07-08,ADD
53,A,2024-01-31,ADD
53,D,2024-04-30,ADD
53,D,2024-07-29,ADD
54,A,2024-01-20,ADD
54,A,2024-03-20,ADD
54,D,2024-05-19,ADD
54,D,2024-07-18,ADD
55,A,2024-01-01,ADD
55,D,2024-03-01,ADD
55,D,2024-04-30,ADD
55,D,2024-06-29,ADD
56,A,2024-01-12,ADD
56,D,2024-04-11,ADD
56,D,2024-07-10,ADD
57,A,2024-01-16,ADD
57,D,2024-04-15,ADD
57,D,2024-07-14,ADD
58,A,2024-01-26,ADD
58,D,2024-04-25,ADD
58,D,2024-07-24,ADD
59,A,2024-01-25,ADD
59,D,2024-04-24,ADD
59,D,2024-07-23,ADD
60,A,2024-01-10,ADD
60,D,2024-04-09,ADD
60,D,2024-07-08,ADD
61,A,2024-01-19,ADD
61,D,2024-04-18,ADD
61,D,2024-07-17,ADD
62,A,2024-01-05,ADD
62,D,2024-04-04,ADD
62,D,2024-07-03,ADD
63,A,2024-01-03,ADD
63,D,2024-04-02,ADD
63,D,2024-07-01,ADD
64,A,2024-01-23,ADD
64,D,2024-04-22,ADD
64,D,2024-07-21,ADD
65,A,2024-01-01,ADD
65,D,2024-03-31,ADD
65,D,2024-06-29,ADD
66,A,2024-01-19,ADD
66,D,2024-03-19,ADD
66,D,2024-05-18,ADD
66,D,2024-07-17,ADD
67,A,2024-01-03,ADD
67,B,2024-03-03,ADD
67,D,2024-05-02,ADD
67,D,2024-07-01,ADD
68,A,2024-01-21,ADD
68,D,2024-04-20,ADD
68,D,2024-07-19,ADD
69,A,2024-01-03,ADD
69,D,2024-04-02,ADD
69,D,2024-07-01,ADD
70,A,2024-01-16,ADD
70,D,2024-04-15,ADD
70,D,2024-07-14,ADD
71,A,2024-01-30,ADD
71,D,2024-04-29,ADD
71,D,2024-07-28,ADD
72,A,2024-01-01,ADD
72,D,2024-03-31,ADD
72,D,2024-06-29,ADD
73,A,2024-01-15,ADD
73,D,2024-04-14,ADD
73,D,2024-07-13,ADD
74,A,2024-01-22,ADD
74,D,2024-04-21,ADD
74,D,2024-07-20,ADD
75,A,2024-01-27,ADD
75,D,2024-03-27,ADD
75,F,2024-05-26,ADD
75,D,2024-07-25,ADD
76,A,2024-01-13,ADD
76,D,2024-04-12,ADD
76,D,2024-07-11,ADD
77,A,2024-01-06,ADD
77,D,2024-04-05,ADD
77,D,2024-07-04,ADD
78,A,2024-01-04,ADD
78,A,2024-03-04,ADD
78,D,2024-05-03,ADD
78,D,2024-07-02,ADD
79,A,2024-01-20,ADD
79,D,2024-03-20,ADD
79,G,2024-05-19,ADD
79,D,2024-07-18,ADD
80,A,2024-01-28,ADD
80,D,2024-04-27,ADD
80,D,2024-07-26,ADD
81,A,2024-01-09,ADD
81,D,2024-03-09,ADD
81,G,2024-05-08,ADD
81,D,2024-07-07,ADD
82,A,2024-01-30,ADD
82,F,2024-03-30,ADD
82,D,2024-05-29,ADD
82,D,2024-07-28,ADD
83,A,2024-01-13,ADD
83,B,2024-03-13,ADD
83,D,2024-05-12,ADD
83,D,2024-07-11,ADD
84,A,2024-01-15,ADD
84,D,2024-04-14,ADD
84,D,2024-07-13,ADD
85,A,2024-01-06,ADD
85,D,2024-04-05,ADD
85,D,2024-07-04,ADD
86,A,2024-01-29,ADD
86,D,2024-04-28,ADD
86,D,2024-07-27,ADD
87,A,2024-01-29,ADD
87,D,2024-04-28,ADD
87,D,2024-07-27,ADD
88,A,2024-01-23,ADD
88,D,2024-03-23,ADD
88,F,2024-05-22,ADD
88,D,2024-07-21,ADD
89,A,2024-01-05,ADD
89,D,2024-04-04,ADD
89,D,2024-07-03,ADD
90,A,2024-01-12,ADD
90,D,2024-03-12,ADD
90,D,2024-05-11,ADD
90,D,2024-07-10,ADD
91,A,2024-01-02,ADD
91,A,2024-03-02,ADD
91,D,2024-05-01,ADD
91,D,2024-06-30,ADD
92,A,2024-01-29,ADD
92,F,2024-03-29,ADD
92,D,2024-05-28,ADD
92,D,2024-07-27,ADD
93,A,2024-01-24,ADD
93,D,2024-04-23,ADD
93,D,2024-07-22,ADD
94,A,2024-01-23,ADD
94,D,2024-04-22,ADD
94,D,2024-07-21,ADD
95,A,2024-01-01,ADD
95,D,2024-03-01,ADD
95,C,2024-04-30,ADD
95,D,2024-06-29,ADD
96,A,2024-01-08,ADD
96,D,2024-04-07,ADD
96,D,2024-07-06,ADD
97,A,2024-01-31,ADD
97,D,2024-04-30,ADD
97,D,2024-07-29,ADD
98,A,2024-01-09,ADD
98,D,2024-04-08,ADD
98,D,2024-07-07,ADD
99,A,2024-01-14,ADD
99,D,2024-04-13,ADD
99,D,2024-07-12,ADD
100,A,2024-01-01,ADD
100,D,2024-03-31,ADD
100,D,2024-06-29,ADD
101,A,2024-01-05,ADD
101,D,2024-04-04,ADD
101,D,2024-07-03,ADD
102,A,2024-01-21,ADD
102,G,2024-03-21,ADD
102,D,2024-05-20,ADD
102,D,2024-07-19,ADD
103,A,2024-01-15,ADD
103,D,2024-04-14,ADD
103,D,2024-07-13,ADD
104,A,2024-01-21,ADD
104,D,2024-04-20,ADD
104,D,2024-07-19,ADD
105,A,2024-01-20,ADD
105,A,2024-03-20,ADD
105,D,2024-05-19,ADD
105,D,2024-07-18,ADD
106,A,2024-01-05,ADD
106,D,2024-03-05,ADD
106,D,2024-05-04,ADD
106,D,2024-07-03,ADD
107,A,2024-01-26,ADD
107,D,2024-03-26,ADD
107,G,2024-05-25,ADD
107,D,2024-07-24,ADD
108,A,2024-01-01,ADD
108,D,2024-03-31,ADD
108,D,2024-06-29,ADD
109,A,2024-01-06,ADD
109,D,2024-04-05,ADD
109,D,2024-07-04,ADD
110,A,2024-01-10,ADD
110,D,2024-03-10,ADD
110,G,2024-05-09,ADD
110,D,2024-07-08,ADD
111,A,2024-01-29,ADD
111,D,2024-04-28,ADD
111,D,2024-07-27,ADD
112,A,2024-01-31,ADD
112,D,2024-04-30,ADD
112,D,2024-07-29,ADD
113,A,2024-01-29,ADD
113,D,2024-04-28,ADD
113,D,2024-07-27,ADD
114,A,2024-01-27,ADD
114,D,2024-04-26,ADD
114,D,2024-07-25,ADD
115,A,2024-01-02,ADD
115,D,2024-03-02,ADD
115,B,2024-05-01,ADD
115,D,2024-06-30,ADD
116,A,2024-01-14,ADD
116,D,2024-04-13,ADD
116,D,2024-07-12,ADD
117,A,2024-01-21,ADD
117,D,2024-04-20,ADD
117,D,2024-07-19,ADD
118,A,2024-01-22,ADD
118,D,2024-04-21,ADD
118,D,2024-07-20,ADD
119,A,2024-01-14,ADD
119,D,2024-04-13,ADD
119,D,2024-07-12,ADD
120,A,2024-01-26,ADD
120,D,2024-04-25,ADD
120,D,2024-07-24,ADD
121,A,2024-01-02,ADD
121,D,2024-04-01,ADD
121,D,2024-06-30,ADD
122,A,2024-01-19,ADD
122,D,2024-03-19,ADD
122,C,2024-05-18,ADD
122,D,2024-07-17,ADD
123,A,2024-01-29,ADD
123,D,2024-04-28,ADD
123,D,2024-07-27,ADD
124,A,2024-01-01,ADD
124,D,2024-03-31,ADD
124,D,2024-06-29,ADD
125,A,2024-01-25,ADD
125,D,2024-04-24,ADD
125,D,2024-07-23,ADD
126,A,2024-01-03,ADD
126,D,2024-04-02,ADD
126,D,2024-07-01,ADD
127,A,2024-01-15,ADD
127,D,2024-04-14,ADD
127,D,2024-07-13,ADD
128,A,2024-01-08,ADD
128,D,2024-03-08,ADD
128,F,2024-05-07,ADD
128,D,2024-07-06,ADD
129,A,2024-01-19,ADD
129,D,2024-04-18,ADD
129,D,2024-07-17,ADD
130,A,2024-01-05,ADD
130,D,2024-04-04,ADD
130,D,2024-07-03,ADD
131,A,2024-01-05,ADD
131,D,2024-04-04,ADD
131,D,2024-07-03,ADD
132,A,2024-01-31,ADD
132,D,2024-04-30,ADD
132,D,2024-07-29,ADD
133,A,2024-01-02,ADD
133,D,2024-04-01,ADD
133,D,2024-06-30,ADD
134,A,2024-01-07,ADD
134,D,2024-04-06,ADD
134,D,2024-07-05,ADD
135,A,2024-01-18,ADD
135,D,2024-04-17,ADD
135,D,2024-07-16,ADD
136,A,2024-01-24,ADD
136,D,2024-03-24,ADD
136,F,2024-05-23,ADD
136,D,2024-07-22,ADD
137,A,2024-01-05,ADD
137,D,2024-04-04,ADD
137,D,2024-07-03,ADD
138,A,2024-01-25,ADD
138,D,2024-04-24,ADD
138,D,2024-07-23,ADD
139,A,2024-01-06,ADD
139,D,2024-04-05,ADD
139,D,2024-07-04,ADD
140,A,2024-01-31,ADD
140,D,2024-04-30,ADD
140,D,2024-07-29,ADD
141,A,2024-01-30,ADD
141,D,2024-04-29,ADD
141,D,2024-07-28,ADD
142,A,2024-01-20,ADD
142,D,2024-03-20,ADD
142,E,2024-05-19,ADD
142,D,2024-07-18,ADD
143,A,2024-01-10,ADD
143,D,2024-04-09,ADD
143,D,2024-07-08,ADD
144,A,2024-01-10,ADD
144,D,2024-04-09,ADD
144,D,2024-07-08,ADD
145,A,2024-01-26,ADD
145,E,2024-03-26,ADD
145,D,2024-05-25,ADD
145,D,2024-07-24,ADD
146,A,2024-01-07,ADD
146,F,2024-03-07,ADD
146,G,2024-05-06,ADD
146,D,2024-07-05,ADD
147,A,2024-01-31,ADD
147,D,2024-04-30,ADD
147,D,2024-07-29,ADD
148,A,2024-01-02,ADD
148,D,2024-03-02,ADD
148,G,2024-05-01,ADD
148,D,2024-06-30,ADD
149,A,2024-01-29,ADD
149,D,2024-04-28,ADD
149,D,2024-07-27,ADD
150,A,2024-01-03,ADD
150,D,2024-04-02,ADD
150,D,2024-07-01,ADD
151,A,2024-01-24,ADD
151,D,2024-04-23,ADD
151,D,2024-07-22,ADD
152,A,2024-01-04,ADD
152,D,2024-04-03,ADD
152,D,2024-07-02,ADD
153,A,2024-01-19,ADD
153,G,2024-03-19,ADD
153,D,2024-05-18,ADD
153,D,2024-07-17,ADD
154,A,2024-01-21,ADD
154,D,2024-04-20,ADD
154,D,2024-07-19,ADD
155,A,2024-01-28,ADD
155,D,2024-04-27,ADD
155,D,2024-07-26,ADD
156,A,2024-01-15,ADD
156,D,2024-04-14,ADD
156,D,2024-07-13,ADD
157,A,2024-01-02,ADD
157,D,2024-04-01,ADD
157,D,2024-06-30,ADD
158,A,2024-01-25,ADD
158,D,2024-04-24,ADD
158,D,2024-07-23,ADD
159,A,2024-01-17,ADD
159,D,2024-04-16,ADD
159,D,2024-07-15,ADD
160,A,2024-01-16,ADD
160,D,2024-04-15,ADD
160,D,2024-07-14,ADD
161,A,2024-01-23,ADD
161,D,2024-04-22,ADD
161,D,2024-07-21,ADD
162,A,2024-01-25,ADD
162,D,2024-03-25,ADD
162,G,2024-05-24,ADD
162,D,2024-07-23,ADD
163,A,2024-01-17,ADD
163,D,2024-04-16,ADD
163,D,2024-07-15,ADD
164,A,2024-01-09,ADD
164,D,2024-04-08,ADD
164,D,2024-07-07,ADD
165,A,2024-01-14,ADD
165,D,2024-04-13,ADD
165,D,2024-07-12,ADD
166,A,2024-01-20,ADD
166,D,2024-04-19,ADD
166,D,2024-07-18,ADD
167,A,2024-01-14,ADD
167,G,2024-03-14,ADD
167,D,2024-05-13,ADD
167,D,2024-07-12,ADD
168,A,2024-01-19,ADD
168,D,2024-04-18,ADD
168,D,2024-07-17,ADD
169,A,2024-01-01,ADD
169,D,2024-03-31,ADD
169,D,2024-06-29,ADD
170,A,2024-01-08,ADD
170,D,2024-04-07,ADD
170,D,2024-07-06,ADD
171,A,2024-01-04,ADD
171,D,2024-04-03,ADD
171,D,2024-07-02,ADD
172,A,2024-01-25,ADD
172,D,2024-04-24,ADD
172,D,2024-07-23,ADD
173,A,2024-01-23,ADD
173,D,2024-04-22,ADD
173,D,2024-07-21,ADD
174,A,2024-01-02,ADD
174,D,2024-04-01,ADD
174,D,2024-06-30,ADD
175,A,2024-01-08,ADD
175,D,2024-04-07,ADD
175,D,2024-07-06,ADD
176,A,2024-01-11,ADD
176,D,2024-04-10,ADD
176,D,2024-07-09,ADD
177,A,2024-01-23,ADD
177,D,2024-04-22,ADD
177,D,2024-07-21,ADD
178,A,2024-01-09,ADD
178,D,2024-04-08,ADD
178,D,2024-07-07,ADD
179,A,2024-01-25,ADD
179,D,2024-04-24,ADD
179,D,2024-07-23,ADD
180,A,2024-01-22,ADD
180,A,2024-03-22,ADD
180,D,2024-05-21,ADD
180,D,2024-07-20,ADD
181,A,2024-01-15,ADD
181,D,2024-04-14,ADD
181,D,2024-07-13,ADD
182,A,2024-01-09,ADD
182,D,2024-04-08,ADD
182,D,2024-07-07,ADD
183,A,2024-01-09,ADD
183,D,2024-04-08,ADD
183,D,2024-07-07,ADD
184,A,2024-01-04,ADD
184,C,2024-03-04,ADD
184,D,2024-05-03,ADD
184,D,2024-07-02,ADD
185,A,2024-01-30,ADD
185,D,2024-04-29,ADD
185,D,2024-07-28,ADD
186,A,2024-01-10,ADD
186,D,2024-04-09,ADD
186,D,2024-07-08,ADD
187,A,2024-01-01,ADD
187,D,2024-03-31,ADD
187,D,2024-06-29,ADD
188,A,2024-01-03,ADD
188,D,2024-04-02,ADD
188,D,2024-07-01,ADD
189,A,2024-01-07,ADD
189,D,2024-04-06,ADD
189,D,2024-07-05,ADD
190,A,2024-01-16,ADD
190,D,2024-04-15,ADD
190,D,2024-07-14,ADD
191,A,2024-01-23,ADD
191,D,2024-04-22,ADD
191,D,2024-07-21,ADD
192,A,2024-01-23,ADD
192,D,2024-04-22,ADD
192,D,2024-07-21,ADD
193,A,2024-01-15,ADD
193,D,2024-04-14,ADD
193,D,2024-07-13,ADD
194,A,2024-01-27,ADD
194,D,2024-04-26,ADD
194,D,2024-07-25,ADD
195,A,2024-01-05,ADD
195,D,2024-04-04,ADD
195,D,2024-07-03,ADD
196,A,2024-01-18,ADD
196,D,2024-04-17,ADD
196,D,2024-07-16,ADD
197,A,2024-01-13,ADD
197,D,2024-04-12,ADD
197,D,2024-07-11,ADD
198,A,2024-01-16,ADD
198,D,2024-04-15,ADD
198,D,2024-07-14,ADD
199,A,2024-01-17,ADD
199,D,2024-04-16,ADD
199,D,2024-07-15,ADD
200,A,2024-01-07,ADD
200,D,2024-04-06,ADD
200,D,2024-07-05,ADD
201,A,2024-01-17,ADD
201,D,2024-04-16,ADD
201,D,2024-07-15,ADD
202,A,2024-01-15,ADD
202,D,2024-04-14,ADD
202,D,2024-07-13,ADD
203,A,2024-01-15,ADD
203,E,2024-03-15,ADD
203,E,2024-05-14,ADD
203,D,2024-07-13,ADD
204,A,2024-01-20,ADD
204,D,2024-04-19,ADD
204,D,2024-07-18,ADD
205,A,2024-01-06,ADD
205,D,2024-04-05,ADD
205,D,2024-07-04,ADD
206,A,2024-01-31,ADD
206,D,2024-04-30,ADD
206,D,2024-07-29,ADD
207,A,2024-01-07,ADD
207,D,2024-04-06,ADD
207,D,2024-07-05,ADD
208,A,2024-01-01,ADD
208,A,2024-03-01,ADD
208,D,2024-04-30,ADD
208,D,2024-06-29,ADD
209,A,2024-01-12,ADD
209,D,2024-04-11,ADD
209,D,2024-07-10,ADD
210,A,2024-01-13,ADD
210,D,2024-04-12,ADD
210,D,2024-07-11,ADD
211,A,2024-01-09,ADD
211,D,2024-04-08,ADD
211,D,2024-07-07,ADD
212,A,2024-01-22,ADD
212,D,2024-04-21,ADD
212,D,2024-07-20,ADD
213,A,2024-01-28,ADD
213,D,2024-04-27,ADD
213,D,2024-07-26,ADD
214,A,2024-01-11,ADD
214,D,2024-04-10,ADD
214,D,2024-07-09,ADD
215,A,2024-01-03,ADD
215,D,2024-04-02,ADD
215,D,2024-07-01,ADD
216,A,2024-01-13,ADD
216,D,2024-04-12,ADD
216,D,2024-07-11,ADD
217,A,2024-01-26,ADD
217,D,2024-04-25,ADD
217,D,2024-07-24,ADD
218,A,2024-01-23,ADD
218,G,2024-03-23,ADD
218,D,2024-05-22,ADD
218,D,2024-07-21,ADD
219,A,2024-01-18,ADD
219,D,2024-03-18,ADD
219,D,2024-05-17,ADD
219,D,2024-07-16,ADD
220,A,2024-01-25,ADD
220,D,2024-04-24,ADD
220,D,2024-07-23,ADD
221,A,2024-01-17,ADD
221,D,2024-04-16,ADD
221,D,2024-07-15,ADD
222,A,2024-01-10,ADD
222,D,2024-04-09,ADD
222,D,2024-07-08,ADD
223,A,2024-01-05,ADD
223,D,2024-04-04,ADD
223,D,2024-07-03,ADD
224,A,2024-01-07,ADD
224,D,2024-04-06,ADD
224,D,2024-07-05,ADD
225,A,2024-01-17,ADD
225,D,2024-04-16,ADD
225,D,2024-07-15,ADD
226,A,2024-01-06,ADD
226,D,2024-04-05,ADD
226,D,2024-07-04,ADD
227,A,2024-01-15,ADD
227,D,2024-04-14,ADD
227,D,2024-07-13,ADD
228,A,2024-01-12,ADD
228,D,2024-03-12,ADD
228,C,2024-05-11,ADD
228,D,2024-07-10,ADD
229,A,2024-01-12,ADD
229,D,2024-04-11,ADD
229,D,2024-07-10,ADD
230,A,2024-01-12,ADD
230,D,2024-04-11,ADD
230,D,2024-07-10,ADD
231,A,2024-01-28,ADD
231,D,2024-04-27,ADD
231,D,2024-07-26,ADD
232,A,2024-01-15,ADD
232,D,2024-04-14,ADD
232,D,2024-07-13,ADD
233,A,2024-01-21,ADD
233,D,2024-03-21,ADD
233,G,2024-05-20,ADD
233,D,2024-07-19,ADD
234,A,2024-01-21,ADD
234,D,2024-04-20,ADD
234,D,2024-07-19,ADD
235,A,2024-01-28,ADD
235,D,2024-04-27,ADD
235,D,2024-07-26,ADD
236,A,2024-01-29,ADD
236,D,2024-03-29,ADD
236,B,2024-05-28,ADD
236,D,2024-07-27,ADD
237,A,2024-01-02,ADD
237,A,2024-03-02,ADD
237,A,2024-05-01,ADD
237,D,2024-06-30,ADD
238,A,2024-01-13,ADD
238,D,2024-04-12,ADD
238,D,2024-07-11,ADD
239,A,2024-01-20,ADD
239,D,2024-04-19,ADD
239,D,2024-07-18,ADD
240,A,2024-01-12,ADD
240,D,2024-04-11,ADD
240,D,2024-07-10,ADD
241,A,2024-01-01,ADD
241,D,2024-03-31,ADD
241,D,2024-06-29,ADD
242,A,2024-01-17,ADD
242,D,2024-04-16,ADD
242,D,2024-07-15,ADD
243,A,2024-01-17,ADD
243,F,2024-03-17,ADD
243,D,2024-05-16,ADD
243,D,2024-07-15,ADD
244,A,2024-01-22,ADD
244,D,2024-04-21,ADD
244,D,2024-07-20,ADD
245,A,2024-01-31,ADD
245,D,2024-04-30,ADD
245,D,2024-07-29,ADD
246,A,2024-01-18,ADD
246,D,2024-04-17,ADD
246,D,2024-07-16,ADD
247,A,2024-01-27,ADD
247,D,2024-04-26,ADD
247,D,2024-07-25,ADD
248,A,2024-01-10,ADD
248,D,2024-04-09,ADD
248,D,2024-07-08,ADD
249,A,2024-01-18,ADD
249,D,2024-04-17,ADD
249,D,2024-07-16,ADD
250,A,2024-01-14,ADD
250,D,2024-04-13,ADD
250,D,2024-07-12,ADD
251,A,2024-01-22,ADD
251,D,2024-04-21,ADD
251,D,2024-07-20,ADD
252,A,2024-01-30,ADD
252,D,2024-04-29,ADD
252,D,2024-07-28,ADD
253,A,2024-01-20,ADD
253,D,2024-04-19,ADD
253,D,2024-07-18,ADD
